original/ratio/verb/c4first/1/mask
|                          |   ave-alpha |   ave-n_pred_lus_c4 |   ave-n_pred_clusters |   ave-n_pred_clusters_c4 |   ave-pu |   ave-ipu |   ave-puf |   ave-bcp |   ave-bcr |   ave-bcf |
| 2_triplet_distance       |      0.5333 |              1085.3 |                 328   |                    385.3 |     60.2 |      71.7 |      65.4 |      47.6 |      60.3 |      53.1 |
| 2_softmax_classification |      0.4667 |              1474.3 |                 579   |                    685.7 |     72   |      69.9 |      70.9 |      61.3 |      59   |      60   |
| 2_arcface_classification |      0.5667 |               971.7 |                 350.7 |                    401   |     53.2 |      63.1 |      57.7 |      40.7 |      50   |      44.8 |
| 2_adacos_classification  |      0.5    |              1155.3 |                 457.7 |                    521.3 |     69.2 |      72.1 |      70.6 |      57.8 |      61.3 |      59.4 |


original/frequency_100/verb/c4first/2/word
|                          |   ave-alpha |   ave-n_pred_lus_c4 |   ave-n_pred_clusters |   ave-n_pred_clusters_c4 |   ave-pu |   ave-ipu |   ave-puf |   ave-bcp |   ave-bcr |   ave-bcf |
|:-------------------------|------------:|--------------------:|----------------------:|-------------------------:|---------:|----------:|----------:|----------:|----------:|----------:|
| 1_vanilla                |           0 |               nan   |                 596   |                    887   |     51.7 |      46   |      48.7 |      38.9 |      32.6 |      35.5 |
| 1_siamese_distance       |           0 |               nan   |                 473.3 |                    660   |     57.6 |      68.2 |      62.3 |      46.2 |      56.9 |      50.8 |
| 1_triplet_distance       |           0 |               nan   |                 539.3 |                    881.3 |     72   |      68.2 |      70.1 |      62.9 |      57.5 |      60.1 |
| 1_softmax_classification |           0 |               nan   |                 459   |                    730.7 |     67.2 |      76.1 |      71.4 |      55.1 |      66   |      60   |
| 1_arcface_classification |           0 |               nan   |                 521.3 |                    728.7 |     70.6 |      67.5 |      69   |      61.1 |      56.8 |      58.8 |
| 1_adacos_classification  |           0 |               nan   |                 463   |                    706.3 |     69.3 |      75.5 |      72.3 |      57.9 |      65.6 |      61.5 |
| 2_vanilla                |           0 |               924   |                 460.3 |                    498   |     49.5 |      55.1 |      52.1 |      37.9 |      42.1 |      39.8 |
| 2_siamese_distance       |           0 |              3211.3 |                 581.7 |                    756.7 |     63.3 |      66.2 |      64.7 |      52   |      54.4 |      53.1 |
| 2_triplet_distance       |           0 |              1739   |                 367   |                    437.7 |     66   |      72.6 |      69.1 |      55.2 |      62.6 |      58.7 |
| 2_softmax_classification |           0 |              2418.3 |                 783   |                   1013   |     77.6 |      66.8 |      71.7 |      68.6 |      55.3 |      61.1 |
| 2_arcface_classification |           0 |              1297.7 |                 353   |                    382   |     59.1 |      70.8 |      64.4 |      48.6 |      60.7 |      53.9 |
| 2_adacos_classification  |           0 |              2161   |                 604   |                    730.7 |     74.8 |      70   |      72.2 |      65.1 |      59.3 |      61.9 |




